States,Year,Sub_group,CPA_Cases_Registered,CPA_Cases_Reported_for_Dept_Action,CPA_Complaints/Cases_Declared_False/Unsubstantiated,CPA_Complaints_Received/Alleged,CPA_No_of_Departmental_Enquiries,CPA_No_of_Magisterial_Enquiries,CPA_Cases_Sent_for_Trials/Charge_sheeted,CPA_No_of_Judicial_Enquiries,CPB_Police_Personnel_Acquitted,CPB_Police_Personnel_Convicted,CPB_Police_Personnel_sent_up_for_Trial,CPB_Police_Personnel_Trial_Completed,CPB_Police_Personnel_Cases_Withdrawn_or_Otherwise_disposed_of,CPC_Police_personnel_Cases_Trial_Completed,CPC_Police_Personnel_Cases_Withdrawn_or_Otherwise_disposed_of,CPC_Police_Personnel_Disciplinary_Action_Initiated,CPC_Police_Personnel_Dismissal/Removal_from_Service,CPC_Police_Personnel_Major_Punishment_awarded,CPC_Police_Personnel_Minor_Punishment_awarded,Total_no_of_cases
Andaman & Nicobar Islands,2001,Complaints Against Police Personnel,10,4,0,10,4,0,5,0,1,0,5,1,0,6,25,73,2,11,20,177
Andaman & Nicobar Islands,2002,Complaints Against Police Personnel,13,0,0,13,0,0,4,0,0,2,3,2,0,20,14,92,3,10,27,203
Andaman & Nicobar Islands,2003,Complaints Against Police Personnel,9,0,1,9,0,0,2,0,0,0,2,0,1,9,1,40,0,3,21,98
Andaman & Nicobar Islands,2004,Complaints Against Police Personnel,15,0,0,1,0,1,6,0,0,0,6,0,1,41,3,47,3,8,33,165
Andaman & Nicobar Islands,2005,Complaints Against Police Personnel,19,3,138,167,55,3,6,0,0,0,4,0,0,8,5,28,0,1,5,442
Andaman & Nicobar Islands,2006,Complaints Against Police Personnel,14,0,0,14,0,0,9,14,0,0,10,0,0,3,0,9,2,2,7,84
Andaman & Nicobar Islands,2007,Complaints Against Police Personnel,20,0,0,20,0,0,5,20,0,0,4,0,0,2,0,13,4,6,2,96
Andaman & Nicobar Islands,2008,Complaints Against Police Personnel,15,0,0,15,0,0,6,15,2,0,6,2,0,1,13,26,0,13,73,187
Andaman & Nicobar Islands,2009,Complaints Against Police Personnel,15,0,0,15,0,0,11,15,0,0,11,0,0,0,11,33,1,5,34,151
Andaman & Nicobar Islands,2010,Complaints Against Police Personnel,24,0,0,24,0,0,22,24,1,0,22,1,0,0,2,16,4,12,68,220
Andhra Pradesh,2001,Complaints Against Police Personnel,3078,72,109,3229,160,2969,3039,23,12,3,92,15,16,23,476,1506,47,248,1085,16202
Andhra Pradesh,2002,Complaints Against Police Personnel,159,84,67,311,165,2,104,22,12,0,108,12,12,105,497,1850,26,359,1471,5366
Andhra Pradesh,2003,Complaints Against Police Personnel,140,828,11,941,892,7,89,27,12,1,100,13,8,1039,367,1764,16,261,1284,7800
Andhra Pradesh,2004,Complaints Against Police Personnel,649,476,30,646,499,4,183,29,2,1,51,3,1,223,564,1848,15,269,1010,6503
Andhra Pradesh,2005,Complaints Against Police Personnel,6271,609,663,7453,633,0,6220,74,5,2,99,7,5,14,682,2334,33,271,1667,27042
Andhra Pradesh,2006,Complaints Against Police Personnel,5461,269,202,5896,315,0,5399,31,7,3,100,10,11,60,892,2857,34,271,1548,23366
Andhra Pradesh,2007,Complaints Against Police Personnel,200,99,27,327,209,10,121,25,6,1,131,7,22,1,531,2018,45,206,1335,5321
Andhra Pradesh,2008,Complaints Against Police Personnel,129,382,20,722,639,1,84,30,11,2,164,13,9,10,811,2839,59,352,1496,7773
Andhra Pradesh,2009,Complaints Against Police Personnel,128,395,21,789,706,3,90,28,13,2,171,15,8,11,901,2946,62,304,1389,7982
Andhra Pradesh,2010,Complaints Against Police Personnel,112,65,5,2321,320,0,52,21,14,0,69,14,3,40,230,950,1,37,351,4605
Arunachal Pradesh,2001,Complaints Against Police Personnel,24,39,5,54,44,0,17,0,0,0,17,0,1,8,43,107,4,17,15,395
Arunachal Pradesh,2002,Complaints Against Police Personnel,40,13,0,54,42,8,11,0,0,0,10,0,1,8,5,47,3,17,25,284
Arunachal Pradesh,2003,Complaints Against Police Personnel,6,0,0,15,9,0,1,0,0,0,1,0,1,1,0,1,0,0,1,36
Arunachal Pradesh,2004,Complaints Against Police Personnel,25,2,0,45,1,3,16,15,0,0,1,0,2,67,13,152,0,12,55,409
Arunachal Pradesh,2005,Complaints Against Police Personnel,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,35,0,1,7,52
Arunachal Pradesh,2006,Complaints Against Police Personnel,8,2,0,28,24,0,0,0,0,0,0,0,0,3,1,6,0,0,3,75
Arunachal Pradesh,2007,Complaints Against Police Personnel,16,0,0,40,38,0,6,0,0,0,6,0,0,0,0,6,0,2,1,115
Arunachal Pradesh,2008,Complaints Against Police Personnel,0,0,0,137,137,0,0,0,0,0,0,0,0,0,0,137,0,16,28,455
Arunachal Pradesh,2009,Complaints Against Police Personnel,0,0,0,97,97,0,0,0,0,0,0,0,0,0,0,97,0,4,19,314
Arunachal Pradesh,2010,Complaints Against Police Personnel,0,0,0,177,177,0,0,0,0,0,0,0,0,0,0,176,0,13,54,597
Assam,2001,Complaints Against Police Personnel,17,3,1,52,52,3,9,1,1,0,7,1,1,0,7,144,5,61,102,467
Assam,2002,Complaints Against Police Personnel,17,1,7,115,106,2,7,15,0,0,9,0,3,36,1,124,2,70,374,889
Assam,2003,Complaints Against Police Personnel,15,35,2,8,14,2,11,2,3,0,9,3,0,0,13,99,0,37,233,486
Assam,2004,Complaints Against Police Personnel,14,9,0,7,13,0,9,3,3,0,4,3,4,2,11,21,2,0,19,124
Assam,2005,Complaints Against Police Personnel,28,35,0,20,37,0,13,6,0,0,14,0,0,0,0,22,4,4,60,243
Assam,2006,Complaints Against Police Personnel,11,3,0,19,19,0,3,1,1,0,6,1,1,0,0,1,0,0,18,84
Assam,2007,Complaints Against Police Personnel,18,5,0,31,22,2,2,7,1,0,3,1,1,1,0,0,2,0,87,183
Assam,2008,Complaints Against Police Personnel,12,6,0,7,0,2,6,3,0,0,7,0,0,0,7,53,1,30,19,153
Assam,2009,Complaints Against Police Personnel,9,3,2,54,52,0,4,11,1,0,9,1,0,0,0,46,2,16,36,246
Assam,2010,Complaints Against Police Personnel,9,0,1,19,7,1,2,3,0,0,2,0,2,0,0,0,0,7,5,58
Bihar,2001,Complaints Against Police Personnel,1,1,12,125,3,15,18,81,0,0,81,0,6,537,141,1385,33,470,1557,4466
Bihar,2002,Complaints Against Police Personnel,16,1,35,127,14,16,35,82,0,0,61,0,3,575,303,1467,22,301,112,3170
